Starting_point_id,Dropping_point_id,Weekday,Intercept,Power_0,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6,Power_7
5,3,Saturday,33.10247283496612,-2.6882538961648907e-25,-2.8720282830142307e-19,-1.9979828624579967e-19,-1.0301179719431512e-16,-3.183705114655112e-14,8.639622289482642e-17,-6.090958250600856e-20,1.1091266225179943e-23
5,3,Sunday,29.872142691845603,6.164170270400374e-17,-2.7180652975054633e-10,7.4020099045854e-12,1.4270426104145506e-09,-5.2145710191335505e-12,7.068348304242056e-15,-4.185723172042215e-18,9.12493784589992e-22
5,3,Monday,45.033069014705454,-5.563844240734527e-24,-2.583872676989115e-19,-3.84058769010734e-18,-1.9187137704950265e-15,-5.766264609803559e-13,1.3457921581711103e-15,-1.037555630644326e-18,2.6377689462201927e-22
5,3,Tuesday,27.85514866471342,1.31885713568197e-16,2.4442150508731007e-11,1.5705374951139374e-11,2.923514598396919e-09,-1.0700663095930123e-11,1.4532346271803145e-14,-8.648806619020676e-18,1.9021945182432524e-21
5,3,Wednesday,38.44903773619514,-5.732639244422036e-24,-1.8765833800352445e-17,-4.068703913709318e-18,-2.0829883597639e-15,-6.434275416006087e-13,1.5485705222591345e-15,-1.2201109551482403e-18,3.156256256434999e-22
5,3,Thursday,30.240285858314373,8.811577597834785e-17,-3.4068660137331544e-10,1.1875519286062887e-11,2.363280670332159e-09,-8.806033722738702e-12,1.2144903671675115e-14,-7.296427600326327e-18,1.6096397514984891e-21
5,3,Friday,29.253694943108677,3.0428007855716306e-17,1.3167363668435636e-12,4.5250975263865445e-12,8.889245090094103e-10,-3.4061289144359338e-12,4.779981730790631e-15,-2.912612119241389e-18,6.52226663773217e-22
5,4,Saturday,29.519197161491597,-2.0370363240524713e-24,-2.176291851542331e-18,-1.5139805033545467e-18,-7.805766064276303e-16,-2.412467849906576e-13,5.953162751153403e-16,-4.830370001825412e-19,1.2893227765690742e-22
5,4,Sunday,22.753291424090907,6.965128250777029e-17,-3.0712444079078963e-10,8.363809508977135e-12,1.6124689974295547e-09,-5.962848192705539e-12,8.214402153118418e-15,-4.96315899250104e-18,1.1074287935095238e-21
5,4,Monday,34.94314566004733,-4.5480947236640486e-24,-2.1121561198984892e-19,-3.1394401326966022e-18,-1.5684283733452747e-15,-4.713559547937851e-13,1.1581822333269095e-15,-9.338822505005599e-19,2.4715157170480086e-22
